composition_Fe,composition_Ag,temperature_K,strain_rate,lattice_parameter_a,lattice_parameter_c,volume,youngs_modulus,yield_strength,ultimate_strength,max_strain
0.25,0.75,300,0.0001,5.77704618,4.639666,134.10007696,1.23,0.1669424669999999,0.18549163,0.0001
0.25,0.75,350,0.0015352246941973478,5.78282322618,4.644305665999999,134.5027796252109,1.215307908076972,0.19520487083168653,0.203156326527513,0.00013916655057071822
0.25,0.75,350,1.7073967431528133e-06,5.78282322618,4.644305665999999,134.5027796252109,1.1662106293050585,0.13095211661808948,0.16210157463210534,5.411689885916049e-05
0.25,0.75,100,0.0007726718477963427,5.75393799528,4.621107336,132.49730425776914,1.4709834505951322,0.1835276363088051,0.22718396193372478,0.0001734963019255433
0.25,0.75,500,0.00012561043700013555,5.80015436472,4.6582246640000005,135.715723269619,1.1370464098088937,0.15018266005345424,0.17889669717955733,7.789877213040838e-05
0.25,0.75,600,0.007852755494724249,5.81170845708,4.667503996,136.52839011920832,1.1536283648130505,0.16846279051716956,0.19807834136007055,0.00012649239825343256
0.25,0.75,200,0.000234238498471129,5.76549208764,4.630386668,133.2970846263629,1.20248956526017,0.18439489876071097,0.18634522930020267,6.30103185970559e-05
0.25,0.75,200,0.005872283616443719,5.76549208764,4.630386668,133.2970846263629,1.3996701285656479,0.20656101215604758,0.20121060592156853,9.617876512442981e-05
0.25,0.75,600,5.762487216478597e-05,5.81170845708,4.667503996,136.52839011920832,1.0218975427776902,0.14254275259614202,0.15323741203085064,0.0002318640804157564
0.25,0.75,200,5.3572800696018245e-06,5.76549208764,4.630386668,133.2970846263629,1.2408525473386482,0.14533948569880883,0.16361619338538927,0.0001635400655639983
0.25,0.75,650,0.0075568101412744225,5.8174855032599995,4.672143662,136.9359372837995,1.2326674203963333,0.18825497241878927,0.2030342587667475,0.00016957999576221704
0.25,0.75,800,2.023778954048509e-05,5.8348166418,4.68606266,138.16344339196496,0.9905869522266338,0.1228110956294472,0.1599115961008294,0.0002189067697356303
0.25,0.75,650,1.2172958098369951e-05,5.8174855032599995,4.672143662,136.9359372837995,1.0841414781274723,0.12485212203829787,0.14848152491385835,0.0001585392166316497
0.25,0.75,450,1.531418971165477e-05,5.79437731854,4.6535849979999995,135.31060197541996,1.0580656051686859,0.13057489288710322,0.16357389237634376,0.00012897630363511395
0.25,0.75,400,1.0521761868451128e-06,5.78860027236,4.648945332,134.9062876954841,1.1235509810134763,0.12623923939457696,0.15701315027449528,0.00020425406933718916
0.25,0.75,250,0.005072283440670032,5.77126913382,4.635026334,133.6981788952508,1.391061822966994,0.21868836657950694,0.22595078786569858,0.0001398901348276407
0.25,0.75,50,1.7956984225677645e-06,5.7481609491,4.6164676700000005,132.09861654886237,1.1839435081525642,0.14106999985343488,0.17786496716185382,0.00017751149427104262
0.25,0.75,550,0.00017578171745893557,5.8059314108999995,4.66286433,136.12165238268156,1.1148411099284945,0.16629591006991729,0.18471706397663598,0.00019434590423297464
0.25,0.75,350,0.0012130221181165155,5.78282322618,4.644305665999999,134.5027796252109,1.2727017402644416,0.18550786193604818,0.19625883999299423,5.508382534881904e-05
0.25,0.75,650,6.41027718811016e-06,5.8174855032599995,4.672143662,136.9359372837995,1.0792046099121892,0.1224989015292261,0.15169606869776103,0.0001891032172852255
0.25,0.75,250,9.935023909063691e-06,5.77126913382,4.635026334,133.6981788952508,1.1717261137849357,0.1558746759495803,0.16566269817684007,6.53959819657586e-05
0.25,0.75,550,0.0006013671933592864,5.8059314108999995,4.66286433,136.12165238268156,1.2370854756763023,0.16752225644620702,0.17632235846680783,7.109885196605412e-05
0.25,0.75,600,0.0016394127471631593,5.81170845708,4.667503996,136.52839011920832,1.1091502629434213,0.17885004455192222,0.1863744804600032,0.00021148803103281251
0.25,0.75,600,2.6618976467932925e-05,5.81170845708,4.667503996,136.52839011920832,1.1388087723639848,0.13175577880523726,0.16484805717443296,5.0104075399063166e-05
0.25,0.75,650,0.0027728241828010596,5.8174855032599995,4.672143662,136.9359372837995,1.0659057730837405,0.1686765626807523,0.18273999907456268,9.442156209414605e-05
0.25,0.75,150,1.1957746304562944e-05,5.75971504146,4.625747002,132.89679334873583,1.184316821763983,0.14898259918134132,0.17146480468005773,0.00016162040040346824
0.25,0.75,200,2.847858516856296e-05,5.76549208764,4.630386668,133.2970846263629,1.3318041424661282,0.1742165738620493,0.17547022443091118,0.0001494497011784771
0.25,0.75,50,3.911539496057498e-06,5.7481609491,4.6164676700000005,132.09861654886237,1.3425082667431225,0.1468848293449878,0.1904506203729828,0.00013220740266364626
0.25,0.75,350,1.3019246714361582e-05,5.78282322618,4.644305665999999,134.5027796252109,1.2304208570392368,0.14009210270852077,0.1601289689230766,0.0001478905520555126
0.25,0.75,800,0.00016276924772060892,5.8348166418,4.68606266,138.16344339196496,1.0406941032539996,0.12772824445947173,0.1569997582781224,9.843198765548518e-05
0.25,0.75,300,2.958915282095305e-05,5.77704618,4.639666,134.10007696,1.2228239111719543,0.15964732088452824,0.17866847557535862,6.805795401088166e-05
0.25,0.75,50,4.007469039971228e-06,5.7481609491,4.6164676700000005,132.09861654886237,1.2458153358087312,0.157597660588725,0.18727992414738226,0.00011519178104037696
0.25,0.75,200,1.165068111898612e-06,5.76549208764,4.630386668,133.2970846263629,1.1521934887603669,0.1274665101837995,0.16526026227882862,8.487328580099829e-05
0.25,0.75,50,3.893032993191041e-05,5.7481609491,4.6164676700000005,132.09861654886237,1.3139442712522098,0.18399602783901134,0.19829820121494998,0.00019704322384815444
0.25,0.75,100,0.004997749370303171,5.75393799528,4.621107336,132.49730425776914,1.5140955789401835,0.20859275295162436,0.22906965332530255,0.00021344444004024317
0.25,0.75,450,0.0001165583967396925,5.79437731854,4.6535849979999995,135.31060197541996,1.1245564867734945,0.1706950824359873,0.19135782856234068,0.00016165869072141953
0.25,0.75,800,0.000340726434853019,5.8348166418,4.68606266,138.16344339196496,1.0149320930334773,0.13862324425510208,0.1703339715100116,0.00022942205199051542
0.25,0.75,400,4.149851045848947e-05,5.78860027236,4.648945332,134.9062876954841,1.2365169330688301,0.16146394505512018,0.18659516809896604,0.00020706813022278872
